period,end_station_id,no_trips
201907,3142,4319
201908,3167,4317
201906,495,4315
201906,3167,4313
201912,477,4312
201908,363,4308
201909,540,4307
201907,319,4302
201906,72,4301
201907,167,4300
201906,532,4297
201906,508,4296
202005,3168,4294
201911,520,4292
201910,3718,4292
201910,515,4289
201910,3259,4284
201909,434,4279
202005,3423,4275
201908,533,4275
202002,3263,4273
201906,485,4271
201909,164,4269
202002,284,4268
202003,358,4267
201906,450,4264
202003,3711,4259
201910,539,4256
201907,394,4255
201910,311,4254
201910,3142,4253
201906,483,4253
201906,448,4246
201907,268,4244
201908,252,4242
201907,72,4237
201910,265,4235
201909,247,4233
202002,492,4233
201909,3236,4232
201908,480,4226
201911,432,4225
201907,3236,4225
201909,3798,4223
201907,336,4222
201906,2021,4220
201911,450,4218
202001,3687,4216
201907,3165,4214
201907,3163,4207
201910,546,4207
202001,426,4203
201908,469,4202
201911,493,4202
201911,462,4200
202001,468,4199
201906,311,4198
201911,161,4197
201910,412,4193
201906,3708,4193
201907,533,4193
201910,3158,4190
201906,546,4188
202001,168,4187
201911,3141,4185
201908,3093,4184
202002,489,4181
201906,268,4181
201911,3712,4180
202002,499,4179
201910,383,4177
201911,326,4177
201910,252,4174
201910,3463,4174
201910,3809,4173
201911,380,4171
201910,387,4170
202001,3263,4168
201910,325,4165
201907,517,4165
201910,280,4159
201911,223,4158
202002,229,4158
201906,441,4158
201906,346,4153
202003,490,4149
201909,3799,4148
201910,268,4144
202003,477,4143
201910,540,4143
201908,3236,4142
201907,3472,4138
202005,468,4136
201906,254,4136
201910,315,4135
201909,346,4131
201906,328,4129
202005,402,4127
201910,3140,4126
201911,447,4123
201907,546,4122
202005,387,4121
201911,127,4112
201911,317,4111
201909,422,4110
202002,442,4109
202002,3435,4108
201907,3718,4107
201907,3235,4106
202001,504,4095
202003,285,4092
201911,466,4085
202003,3812,4082
201911,513,4081
202002,3664,4080
201908,328,4079
201909,473,4079
201908,540,4079
201912,3711,4078
201909,410,4077
201906,435,4075
201911,250,4072
201910,417,4067
201908,325,4066
201906,247,4061
201911,3167,4061
201910,319,4059
201911,439,4056
201907,480,4054
201910,533,4051
201910,174,4049
201912,3641,4048
201910,368,4047
201909,385,4044
201907,483,4041
201911,501,4040
201907,2021,4039
201910,3165,4034
201909,536,4030
201911,545,4029
202001,496,4028
201910,3712,4027
201910,422,4021
201908,483,4016
202002,472,4016
201907,3788,4015
202005,3129,4011
201911,327,4010
201908,520,4009
201910,394,4007
202001,486,4001
201911,3002,4000
201911,453,3998
202002,465,3997
201908,3463,3996
201911,236,3996
201908,247,3996
202001,514,3986
201907,247,3980
201908,346,3979
201907,536,3978
202002,491,3977
201907,3282,3975
201908,296,3973
202003,3641,3972
201908,410,3972
201906,3093,3971
201908,3259,3970
202002,446,3967
201911,474,3966
201911,478,3964
201912,523,3963
201911,3656,3963
201909,3159,3962
201907,3259,3960
201906,394,3958
202002,116,3954
201907,328,3950
201907,254,3948
201911,476,3945
201906,3259,3945
202003,505,3944
201910,369,3943
201906,319,3941
201912,492,3938
201906,517,3931
201906,3718,3927
201908,536,3926
201909,238,3926
202003,359,3925
201907,3429,3923
201907,3093,3921
201910,469,3921
201906,238,3918
201910,434,3913
201908,164,3912
201909,296,3912
201912,499,3911
202001,509,3911
201908,3158,3910
201908,454,3904
201908,3168,3897
201909,3783,3895
201907,363,3894
201910,448,3893
201907,195,3893
201906,533,3893
201911,3686,3891
201909,469,3888
201909,3680,3886
202002,468,3884
201907,481,3878
201907,540,3874
201907,309,3874
202002,368,3873
201909,3429,3871
201907,355,3870
202001,3141,3870
201912,229,3868
201911,405,3861
201908,3429,3859
201906,493,3859
201908,2002,3859
201906,460,3857
201906,3235,3856
202005,285,3855
201906,217,3852
201909,3812,3852
201908,279,3850
201911,334,3848
202005,528,3848
201907,325,3846
202001,461,3845
202001,518,3840
201909,3809,3840
201911,526,3840
202002,504,3839
202005,478,3837
201906,195,3837
201906,410,3829
201911,3708,3827
201907,252,3823
201909,2012,3820
201912,459,3820
202001,3443,3819
201911,3260,3818
202001,151,3818
202005,447,3817
202005,507,3816
201909,3175,3815
201910,328,3812
201906,540,3810
202005,3435,3809
201906,3282,3809
202004,3141,3802
201910,3680,3801
202003,3435,3798
201911,403,3798
201911,2021,3795
201911,503,3787
201908,3783,3784
201907,3158,3784
201910,3674,3780
201908,522,3777
201909,2002,3775
201909,3457,3774
201910,3016,3768
201911,350,3766
201910,3461,3763
201911,530,3761
201906,434,3760
201911,312,3756
201907,2002,3756
201908,422,3755
202005,3724,3754
201908,3244,3753
201906,3236,3746
202001,2003,3746
201906,325,3745
201910,3472,3742
201910,2008,3741
202005,3142,3740
201908,2012,3740
201911,3443,3736
201910,3163,3735
201911,531,3732
202005,3140,3731
201909,440,3730
201909,279,3728
201907,3244,3721
201908,500,3719
201906,417,3718
201910,3798,3717
202002,509,3713
202005,509,3713
201912,465,3711
202004,426,3709
201906,3463,3709
201911,167,3707
202002,496,3707
201907,454,3707
202001,297,3703
201911,515,3702
201909,3301,3696
201910,532,3694
202003,3141,3692
202005,446,3689
201908,259,3687
201907,346,3686
202001,482,3686
201906,279,3685
201906,2002,3681
201906,3429,3675
201912,358,3674
201910,500,3669
201911,347,3668
202003,523,3668
201906,536,3667
201907,296,3664
202001,127,3661
201909,3374,3661
202005,460,3660
202004,514,3660
202001,445,3660
201911,484,3658
201911,3244,3658
201911,307,3656
201908,217,3654
201911,3467,3652
201906,480,3650
201910,536,3648
201910,385,3648
202003,293,3648
201907,279,3648
202002,168,3647
201906,3158,3644
201907,3463,3643
202005,504,3642
201908,150,3637
202001,507,3636
201910,3282,3632
202002,486,3630
202001,128,3629
201907,164,3629
201910,485,3628
201910,247,3628
202002,517,3627
201911,508,3626
201910,3429,3626
201912,3435,3624
201910,279,3622
201907,3680,3621
202002,426,3619
201907,3783,3618
201907,2000,3617
201909,485,3616
201906,2023,3614
201906,3244,3612
201910,164,3611
202001,462,3610
201907,410,3610
201906,3409,3606
202005,3992,3606
201908,3175,3604
202001,494,3604
202002,3687,3592
201906,309,3592
201911,3746,3590
201910,309,3589
202005,3349,3588
201908,2000,3588
202005,380,3586
202002,151,3585
201906,3112,3582
201909,423,3581
201908,455,3581
201911,305,3579
202003,379,3578
201909,3168,3570
201906,484,3568
201911,301,3564
201910,3159,3564
201911,3788,3563
201910,2012,3563
201911,377,3557
201907,3737,3556
202003,446,3553
202005,363,3553
201909,3295,3552
201907,485,3551
201906,252,3545
201908,280,3542
202001,528,3541
201910,363,3541
201909,500,3541
201911,303,3535
201912,168,3532
201908,238,3529
201911,336,3528
201908,473,3526
201909,217,3526
202001,503,3524
201909,3737,3521
201907,3159,3516
201909,3134,3515
201912,491,3515
201908,3143,3512
201909,3112,3510
201907,455,3510
201909,3697,3509
201909,259,3505
201908,3680,3504
201908,351,3502
202005,3812,3501
201910,440,3495
201909,3235,3495
201911,3158,3493
201910,3699,3491
201910,3093,3490
202005,350,3489
201910,3156,3487
201907,280,3486
202005,518,3483
202001,327,3482
202001,250,3481
201908,3737,3475
201909,3156,3475
202001,466,3471
201912,3707,3469
202005,2003,3469
202001,501,3468
202003,3687,3467
201906,3423,3466
202002,2003,3465
201907,2012,3463
202005,462,3463
202001,474,3461
201908,3374,3461
202003,504,3461
202001,380,3460
201908,3159,3460
202001,237,3460
201911,529,3459
201906,355,3459
202003,3707,3458
202002,507,3457
201909,3409,3456
202001,453,3455
202001,545,3453
201906,3459,3453
201907,150,3449
201907,238,3449
202003,459,3449
201909,3747,3448
201907,440,3439
201910,410,3437
201908,335,3431
201908,440,3431
202003,468,3429
201906,3168,3429
202001,529,3428
202001,173,3423
201906,473,3423
202005,217,3416
201909,337,3412
201909,3132,3410
201907,3168,3408
202001,3233,3408
202001,432,3405
201907,422,3404
201910,346,3403
202002,461,3400
201911,401,3398
201910,3137,3397
202003,368,3397
201912,472,3396
201910,473,3395
202005,72,3388
202002,3443,3388
201908,3295,3383
201908,3798,3380
201908,3747,3379
202002,482,3378
201910,296,3378
202001,439,3377
201911,3699,3376
201908,485,3375
201906,2012,3372
202005,476,3371
202003,509,3365
201912,442,3364
202002,161,3363
202002,250,3361
201910,456,3359
201907,174,3356
201906,3159,3355
202001,367,3354
202001,458,3353
202002,514,3352
201912,284,3351
202005,482,3350
201908,423,3350
202005,445,3350
202001,334,3348
201907,259,3348
202002,445,3347
201909,146,3344
201907,469,3343
202002,127,3342
202001,317,3336
201908,513,3333
201907,502,3333
201909,351,3331
201909,2000,3330
202002,297,3329
201911,361,3329
201912,3263,3323
202002,462,3323
201911,487,3321
201909,150,3320
201908,3712,3319
201906,3173,3319
201911,254,3318
202002,3141,3318
201908,3235,3318
202001,326,3316
202001,3656,3305
202001,167,3303
202002,432,3303
201908,174,3302
201910,454,3301
202001,478,3300
201912,446,3300
202002,466,3299
202001,403,3298
202001,525,3297
202001,236,3296
201906,296,3294
201909,513,3294
202002,237,3292
201906,280,3292
202002,518,3286
201911,3680,3285
201907,351,3284
201912,368,3283
201909,3733,3276
201912,281,3275
201906,423,3275
201910,267,3274
201910,3134,3271
201911,257,3271
202005,3993,3270
202005,128,3268
201907,3374,3268
202005,2012,3266
202005,3143,3266
201910,355,3266
201911,311,3264
201907,473,3261
201911,388,3259
202003,518,3259
201911,212,3258
201909,411,3257
202001,350,3254
201907,335,3251
201912,151,3251
202002,236,3249
201908,3409,3249
201908,3301,3247
201907,362,3244
201909,349,3243
201906,502,3243
201910,3235,3243
202001,476,3241
202002,3260,3241
201907,3232,3240
201906,440,3239
201908,502,3237
202002,545,3235
202003,492,3234
201906,3737,3233
202005,237,3233
202002,380,3232
201906,174,3229
201911,470,3226
201912,489,3222
202005,3166,3222
202001,447,3220
202003,284,3218
201910,455,3217
202003,501,3213
201906,3232,3212
201908,369,3211
202003,3002,3203
201906,3295,3203
202002,326,3201
201909,3521,3198
201912,468,3197
201906,455,3196
202003,3256,3196
201910,3733,3195
202001,3260,3190
201912,496,3186
201907,3112,3185
201908,385,3185
201908,337,3184
202002,439,3182
202001,223,3182
202005,3164,3182
201910,3301,3178
201909,427,3178
201907,3409,3177
201910,316,3175
201911,3718,3175
202001,3002,3173
202001,3167,3171
201906,398,3169
202005,3167,3168
201911,251,3167
202002,528,3163
201911,546,3162
202005,3295,3161
202002,173,3161
202003,3664,3159
201907,500,3158
201909,3171,3158
201911,483,3153
201911,3809,3150
201908,3799,3148
201910,337,3147
201912,504,3147
202002,3656,3147
201906,335,3143
201909,3232,3142
201910,150,3142
202001,479,3141
201910,3175,3140
201909,228,3139
202002,474,3139
201910,72,3138
201907,3175,3137
202005,505,3137
202005,459,3134
201909,3166,3134
202002,494,3133
201908,411,3131
201910,522,3130
202005,412,3130
202001,312,3129
201912,3664,3129
202005,448,3128
201909,3143,3127
202002,503,3124
201908,3697,3121
201912,2003,3117
202003,350,3116
201908,427,3115
201912,514,3115
201910,3409,3111
201907,217,3111
201906,2000,3111
201907,349,3111
202001,281,3110
201907,423,3109
202001,438,3107
201911,265,3105
201911,385,3105
202001,307,3105
201906,150,3104
201909,3360,3103
201911,3724,3103
202005,461,3100
201908,3232,3098
202005,284,3095
202002,128,3091
201907,456,3090
201909,3092,3090
201908,3092,3089
201906,3166,3088
201906,164,3087
201912,486,3083
201911,195,3083
202001,450,3083
201911,469,3081
201906,3374,3081
201911,335,3080
202003,3263,3079
201907,3143,3078
201912,509,3077
201912,297,3074
201908,349,3073
202002,167,3073
202001,3746,3073
202001,526,3073
202002,529,3072
202002,223,3071
201909,224,3071
202003,442,3071
201907,3295,3070
202002,317,3069
201912,116,3067
201909,267,3067
201912,3687,3066
201909,3372,3065
201910,3132,3065
201911,3159,3062
201911,174,3062
202005,495,3061
202002,476,3060
201909,456,3060
202001,2021,3055
201907,3423,3054
201908,3521,3054
202005,523,3053
202001,530,3053
202002,3167,3052
201910,3236,3052
201912,447,3051
202002,478,3050
201908,3156,3050
201908,228,3048
202002,350,3048
201906,3680,3041
201906,3175,3039
201906,3788,3038
202005,545,3038
202005,336,3035
202002,403,3034
201909,3699,3034
201909,332,3031
201909,316,3029
202005,3320,3028
201908,3166,3027
201908,3112,3024
201912,507,3022
201910,238,3018
201912,494,3018
201909,3749,3018
202001,3799,3017
201906,3132,3017
201909,3440,3017
202005,3521,3017
202002,327,3016
201907,3747,3013
201911,268,3011
201911,3463,3011
201907,3301,3010
201910,2002,3009
201906,259,3006
201907,337,3005
202005,479,3005
202003,478,3004
202001,3686,3004
201909,295,3003
