period,real_period,user_type,gender,no_trips
201903,6th yr Jun 2018 - May 2019,Subscriber,Female,258182
201903,6th yr Jun 2018 - May 2019,Subscriber,Male,841588
201904,6th yr Jun 2018 - May 2019,Customer,Female,42256
201904,6th yr Jun 2018 - May 2019,Customer,Male,74843
201904,6th yr Jun 2018 - May 2019,Subscriber,Female,348379
201904,6th yr Jun 2018 - May 2019,Subscriber,Male,1052688
201905,6th yr Jun 2018 - May 2019,Customer,Female,57627
201905,6th yr Jun 2018 - May 2019,Customer,Male,96419
201905,6th yr Jun 2018 - May 2019,Subscriber,Female,387074
201905,6th yr Jun 2018 - May 2019,Subscriber,Male,1118014
201906,7th yr Jun 2019 - May 2020,Customer,Female,75805
201906,7th yr Jun 2019 - May 2020,Customer,Male,127340
201906,7th yr Jun 2019 - May 2020,Subscriber,Female,433184
201906,7th yr Jun 2019 - May 2020,Subscriber,Male,1192415
201907,7th yr Jun 2019 - May 2020,Customer,Female,78223
201907,7th yr Jun 2019 - May 2020,Customer,Male,133422
201907,7th yr Jun 2019 - May 2020,Subscriber,Female,446061
201907,7th yr Jun 2019 - May 2020,Subscriber,Male,1222270
201908,7th yr Jun 2019 - May 2020,Customer,Female,93516
201908,7th yr Jun 2019 - May 2020,Customer,Male,155613
201908,7th yr Jun 2019 - May 2020,Subscriber,Female,473945
201908,7th yr Jun 2019 - May 2020,Subscriber,Male,1282693
201909,7th yr Jun 2019 - May 2020,Customer,Female,97296
201909,7th yr Jun 2019 - May 2020,Customer,Male,163308
201909,7th yr Jun 2019 - May 2020,Subscriber,Female,508064
201909,7th yr Jun 2019 - May 2020,Subscriber,Male,1355799
201910,7th yr Jun 2019 - May 2020,Customer,Female,59821
201910,7th yr Jun 2019 - May 2020,Customer,Male,112434
201910,7th yr Jun 2019 - May 2020,Subscriber,Female,433330
201910,7th yr Jun 2019 - May 2020,Subscriber,Male,1227055
201911,7th yr Jun 2019 - May 2020,Customer,Female,28764
201911,7th yr Jun 2019 - May 2020,Customer,Male,61245
201911,7th yr Jun 2019 - May 2020,Subscriber,Female,306130
201911,7th yr Jun 2019 - May 2020,Subscriber,Male,908084
201912,7th yr Jun 2019 - May 2020,Customer,Female,13001
201912,7th yr Jun 2019 - May 2020,Customer,Male,32488
201912,7th yr Jun 2019 - May 2020,Subscriber,Female,187985
201912,7th yr Jun 2019 - May 2020,Subscriber,Male,607632
202001,7th yr Jun 2019 - May 2020,Customer,Female,16449
202001,7th yr Jun 2019 - May 2020,Customer,Male,40347
202001,7th yr Jun 2019 - May 2020,Subscriber,Female,247897
202001,7th yr Jun 2019 - May 2020,Subscriber,Male,792525
202002,7th yr Jun 2019 - May 2020,Customer,Female,15321
202002,7th yr Jun 2019 - May 2020,Customer,Male,37152
202002,7th yr Jun 2019 - May 2020,Subscriber,Female,226540
202002,7th yr Jun 2019 - May 2020,Subscriber,Male,725718
202003,7th yr Jun 2019 - May 2020,Customer,Female,32623
202003,7th yr Jun 2019 - May 2020,Customer,Male,55297
202003,7th yr Jun 2019 - May 2020,Subscriber,Female,218931
202003,7th yr Jun 2019 - May 2020,Subscriber,Male,618841
202004,7th yr Jun 2019 - May 2020,Customer,Female,39003
202004,7th yr Jun 2019 - May 2020,Customer,Male,56420
202004,7th yr Jun 2019 - May 2020,Subscriber,Female,144243
202004,7th yr Jun 2019 - May 2020,Subscriber,Male,329005
202005,7th yr Jun 2019 - May 2020,Customer,Female,125768
202005,7th yr Jun 2019 - May 2020,Customer,Male,153025
202005,7th yr Jun 2019 - May 2020,Subscriber,Female,318045
202005,7th yr Jun 2019 - May 2020,Subscriber,Male,619429
