period,start_station_id,no_trips
201908,3016,4837
201909,319,4836
201906,503,4835
201908,336,4833
201909,417,4829
202001,293,4828
201906,303,4827
201910,487,4824
202001,517,4822
201906,3016,4819
201911,3687,4816
201906,539,4812
201909,495,4811
201906,520,4810
201908,3282,4802
201908,3461,4799
201906,476,4796
201911,507,4792
201909,195,4789
202002,3711,4788
201911,173,4785
201907,3724,4785
201909,529,4784
201908,304,4783
202005,497,4781
201908,394,4780
201907,495,4775
201910,251,4772
201907,223,4772
202005,3374,4771
201910,305,4769
201909,532,4769
201909,265,4761
201911,168,4761
201906,223,4761
202005,3165,4757
201910,3788,4755
201909,3093,4755
201909,3142,4755
201907,161,4754
201910,388,4751
201909,328,4744
201909,363,4739
201907,387,4737
201909,484,4737
201912,402,4737
201910,257,4723
201907,311,4721
201907,257,4719
202003,402,4718
201911,489,4712
201911,3233,4711
201909,280,4709
201907,3137,4704
201908,3718,4696
201909,3259,4694
201910,3256,4694
201906,361,4694
201907,450,4691
202002,523,4690
201906,3746,4688
201906,515,4687
201909,3463,4686
201908,515,4680
201907,317,4675
202002,358,4673
201912,505,4672
201907,515,4672
201910,3746,4672
202005,501,4671
201906,517,4667
201911,368,4664
201908,237,4663
201909,252,4659
202003,499,4659
201912,490,4658
202002,3641,4653
201908,305,4651
201908,532,4650
201910,212,4649
201911,297,4649
201911,514,4644
202002,3812,4639
201911,496,4635
202002,468,4628
202002,499,4619
201906,167,4613
201906,529,4611
201911,494,4611
201907,265,4608
201908,3142,4603
201908,2021,4599
201911,438,4598
202002,293,4598
201910,3724,4597
201908,546,4593
201910,394,4584
201912,3711,4581
201907,529,4578
201907,493,4577
201906,161,4577
201907,412,4572
201907,3016,4570
201910,377,4569
201906,412,4569
201911,2003,4567
201908,508,4564
201911,445,4560
201906,387,4559
201909,325,4556
201910,3158,4549
201909,454,4542
201906,383,4542
201908,484,4541
201911,317,4538
202002,3707,4535
201911,479,4532
201911,432,4525
201908,319,4521
201909,546,4519
201908,417,4505
202001,3435,4503
201911,528,4502
202005,3282,4502
201906,257,4501
201910,515,4498
201909,3461,4493
201907,3167,4488
201910,529,4485
201910,335,4482
201906,265,4475
201909,369,4471
201907,508,4467
202003,477,4466
201909,3472,4462
201906,532,4461
201906,237,4461
202005,3016,4459
201908,3472,4458
201908,422,4457
202005,468,4450
201907,383,4449
201907,304,4448
201907,448,4444
201910,3799,4443
202005,3168,4443
201907,394,4434
201906,3140,4433
201912,477,4433
202001,3707,4432
201906,394,4431
201911,509,4431
201910,3165,4426
201909,3137,4425
201908,3427,4425
201906,254,4411
201906,3137,4411
201906,336,4409
201909,174,4409
201906,3167,4408
202005,3711,4408
201911,3141,4408
202005,3163,4407
201912,379,4404
201909,460,4404
