bike_id,avg_miles,total_aprox_miles,no_trips
15417,1.2650630705394191,304.88020,241
15418,1.2963895302013423,193.16204,149
15419,1.3873417279411765,377.35695,272
15422,1.2164372222222222,43.79174,36
15423,1.2551687188612100,352.70241,281
15424,1.2684723796033994,447.77075,353
15426,1.2507604946996466,353.96522,283
15427,1.2505839534883721,268.87555,215
15428,1.3467123076923077,140.05808,104
15429,1.2556783846153846,489.71457,390
15430,1.6392790000000000,49.17837,30
15431,1.2601322926829268,258.32712,205
15432,1.3708186307053942,330.36729,241
15433,1.2976380677966102,382.80323,295
15434,1.1664311699164345,418.74879,359
15436,1.1610137810945274,466.72754,402
15437,1.2393212618296530,392.86484,317
15438,1.2693280630630631,281.79083,222
15439,1.4278336032388664,352.67490,247
15440,1.2320497641509434,261.19455,212
15441,1.2144502243589744,378.90847,312
15442,1.5362397435897436,59.91335,39
15443,1.4299311363636364,62.91697,44
15444,1.3703748108108108,507.03868,370
15445,1.2574665155807365,443.88568,353
15446,1.4064214285714286,39.37980,28
15447,1.3302505621301775,449.62469,338
15448,1.4627546413502110,346.67285,237
15449,1.2624490797546012,411.55840,326
15451,1.3710329712460064,429.13332,313
15452,1.2436662458471761,374.34354,301
15454,1.3666977319587629,265.13936,194
15456,1.3023447540983607,238.32909,183
15457,0.74969888888888888889,6.74729,9
15459,1.3562737060702875,424.51367,313
15460,1.1206684651162791,240.94372,215
15461,1.3563480232558140,349.93779,258
15462,1.0783913000000000,107.83913,100
15463,1.2505057396449704,422.67094,338
15466,1.2443922305764411,496.51250,399
15468,1.3239287542087542,393.20684,297
15469,1.3576629946524064,253.88298,187
15470,1.2030246491228070,411.43443,342
15471,1.3027189048991354,452.04346,347
15472,1.2562622796352584,413.31029,329
15474,1.1640294117647059,375.98150,323
15475,1.2793724742268041,496.39652,388
15476,1.3857311610486891,369.99022,267
15478,1.2799425862068966,371.18335,290
15479,1.3347571386430678,452.48267,339
15480,1.3783283802816901,391.44526,284
15482,1.2828214723926380,418.19980,326
15485,1.3616885326086957,250.55069,184
15486,1.2100130909090909,532.40576,440
15487,1.2690155357142857,284.25948,224
15489,1.3587487777777778,489.14956,360
15490,1.0450374295774648,296.79063,284
15491,1.2178424657534247,266.70750,219
15493,1.3636091509433962,433.62771,318
15494,1.3794867266187050,383.49731,278
15495,1.3118489915966387,468.33009,357
15499,1.3007620294117647,442.25909,340
15502,1.3255833554817276,399.00059,301
15503,0.97327663265306122449,95.38111,98
15505,1.5795770408163265,154.79855,98
15509,1.2198969047619048,102.47134,84
15510,1.4044819905213270,296.34570,211
15512,1.3549223478260870,155.81607,115
15513,1.2096793989071038,442.74266,366
15514,0.54067000000000000000,2.16268,4
15517,1.2724579432624113,179.41657,141
15520,1.3060790689655172,378.76293,290
15521,1.0430445736434109,134.55275,129
15524,1.2785027981651376,278.71361,218
15525,1.3305714601769912,300.70915,226
15526,1.2964167213114754,474.48852,366
15528,1.2679778518518519,342.35402,270
15529,1.1967298287671233,349.44511,292
15530,1.2301715837104072,271.86792,221
15531,1.4569352742616034,345.29366,237
15536,1.2881353389830508,151.99997,118
15537,1.3416873160173160,309.92977,231
15539,1.2498561290322581,309.96432,248
15540,1.3758194059405941,138.95776,101
15541,1.3629834042553191,320.30110,235
15543,1.3642737903225806,169.16995,124
15544,1.3506819915254237,318.76095,236
15545,1.1784018902439024,193.25791,164
15548,1.3508296573208723,433.61632,321
15549,1.1330019899244332,449.80179,397
15550,1.3214239097744361,175.74938,133
15552,1.2084502068965517,350.45056,290
15553,1.4651034310850440,499.60027,341
15554,1.2206581546134663,489.48392,401
15555,1.1175101980198020,225.73706,202
15556,1.3883354782608696,159.65858,115
15557,1.2715110683760684,297.53359,234
15558,1.2081372773536896,474.79795,393
15561,1.2358467647058824,420.18790,340
15562,1.3293746153846154,553.01984,416
15563,1.4003412834224599,261.86382,187
15566,1.1983129503105590,385.85677,322
15567,1.4353705581395349,308.60467,215
15569,1.2544114527027027,371.30579,296
15570,1.1841406428571429,331.55938,280
